drawing_number,strategy,model,p13,p14,p15,best_hits,average_hits,hit13,hit14,hit15
4995,quality-v2,bk,0.01409228485203416,0.0015024523951537741,7.014048687398803e-05,9,5.662650602409639,0,0,0
4995,quality-v2,sports_v2,0.014367493620094594,0.0015431383594722602,7.25103421631958e-05,9,5.662650602409639,0,0,0
4995,quality-v2,flatten_10,0.012498244546213564,0.0012899161356024673,5.863464077442837e-05,9,5.662650602409639,0,0,0
4995,quality-v2,flatten_20,0.01107719531654255,0.0011063521780860295,4.8935004415313186e-05,9,5.662650602409639,0,0,0
4995,sports-v2,bk,0.014121278096788648,0.0014949252088307674,6.891879858280633e-05,9,5.566265060240964,0,0,0
4995,sports-v2,sports_v2,0.01441143377648526,0.0015366358093597656,7.127333152243184e-05,9,5.566265060240964,0,0,0
4995,sports-v2,flatten_10,0.012522913459775091,0.0012837370843596203,5.765143788245833e-05,9,5.566265060240964,0,0,0
4995,sports-v2,flatten_20,0.011098827598374144,0.0011014029737819377,4.8153232446932394e-05,9,5.566265060240964,0,0,0
4995,quality-v3,bk,0.018870746691706877,0.0018458934272498856,7.457493730329796e-05,10,5.969879518072289,0,0,0
4995,quality-v3,sports_v2,0.019087749170436083,0.0018744479822331405,7.596270192313302e-05,10,5.969879518072289,0,0,0
4995,quality-v3,flatten_10,0.016569471176031286,0.0015763127811382872,6.24091422235357e-05,10,5.969879518072289,0,0,0
4995,quality-v3,flatten_20,0.014521239312660346,0.0013435259577667638,5.2116675606464755e-05,10,5.969879518072289,0,0,0
4995,robust,bk,0.018215237910276284,0.0017911374843397041,7.279609799535452e-05,9,5.885542168674699,0,0,0
4995,robust,sports_v2,0.018475555709460943,0.0018266456618238865,7.453859275462716e-05,9,5.885542168674699,0,0,0
4995,robust,flatten_10,0.016026245802573204,0.0015320159607789454,6.100989376233541e-05,9,5.885542168674699,0,0,0
4995,robust,flatten_20,0.014075714457189921,0.0013080503822472656,5.1028191732296625e-05,9,5.885542168674699,0,0,0
